"Name","Label","Ranking by BC","Betweenness Centrality (BC)","Degree"
"starPep_07183","Peptide","1727","0.6276086558641639","4"
"starPep_07184","Peptide","1728","0.6276086558641639","4"
"starPep_07187","Peptide","1455","1.5139620525036566","6"
"starPep_07188","Peptide","1456","1.5139620525036566","6"
"starPep_07189","Peptide","1457","1.5139620525036566","6"
"starPep_07190","Peptide","1458","1.5139620525036566","6"
"starPep_07191","Peptide","1459","1.5139620525036566","6"
"starPep_07192","Peptide","1305","1.8267432539405553","7"
"starPep_07193","Peptide","1460","1.5139620525036566","6"
"starPep_07194","Peptide","1461","1.5139620525036566","6"
"starPep_07208","Peptide","1729","0.6276086558641639","4"
"starPep_07215","Peptide","1306","1.8267432539405553","7"
"starPep_07276","Peptide","1462","1.5139620525036566","6"
"starPep_07290","Peptide","1811","0.1881710521758538","3"
"starPep_07308","Peptide","1055","2.9810351989980006","7"
"starPep_07311","Peptide","1056","2.9810351989980006","7"
"starPep_07316","Peptide","183","73.89005532250741","6"
"starPep_07321","Peptide","1130","2.2452392910665107","6"
"starPep_07398","Peptide","1131","2.2452392910665107","6"
"starPep_07399","Peptide","1132","2.2452392910665107","6"
"starPep_07400","Peptide","1133","2.2452392910665107","6"
"starPep_07401","Peptide","1609","1.0526588151414364","5"
"starPep_07408","Peptide","1812","0.1881710521758538","3"
"starPep_07409","Peptide","1813","0.1881710521758538","3"
"starPep_07416","Peptide","1597","1.1011601845203762","5"
"starPep_07417","Peptide","1598","1.1011601845203762","5"
"starPep_07418","Peptide","1599","1.1011601845203762","5"
"starPep_07419","Peptide","1739","0.60554680721599","4"
"starPep_07420","Peptide","1600","1.1011601845203762","5"
"starPep_07421","Peptide","1601","1.1011601845203762","5"
"starPep_07422","Peptide","1134","2.2452392910665107","6"
"starPep_07423","Peptide","1602","1.1011601845203762","5"
"starPep_07425","Peptide","1631","0.9630236410701664","5"
"starPep_07426","Peptide","1632","0.9630236410701664","5"
"starPep_07427","Peptide","1633","0.9630236410701664","5"
"starPep_07429","Peptide","1749","0.3629545617550933","3"
"starPep_07469","Peptide","523","15.838181959032797","8"
"starPep_07494","Peptide","1057","2.9810351989980006","7"
"starPep_07502","Peptide","1740","0.60554680721599","4"
"starPep_07504","Peptide","1463","1.5139620525036566","6"
